# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002813695.1	Primary Assembly	chromosome		NZ_CP017768.1	1	450	+						35124816	BK009_RS00005	450		old_locus_tag=BK009_00005
CDS	with_protein	GCF_002813695.1	Primary Assembly	chromosome		NZ_CP017768.1	1	450	+	WP_100908729.1	WP_100908729.1		nucleoside deaminase		35124816	BK009_RS00005	450	149	
gene	protein_coding	GCF_002813695.1	Primary Assembly	chromosome		NZ_CP017768.1	700	1062	+						35124817	BK009_RS00010	363		old_locus_tag=BK009_00010
CDS	with_protein	GCF_002813695.1	Primary Assembly	chromosome		NZ_CP017768.1	700	1062	+	WP_100904762.1	WP_100904762.1		DUF5518 domain-containing protein		35124817	BK009_RS00010	363	120	
gene	protein_coding	GCF_002813695.1	Primary Assembly	chromosome		NZ_CP017768.1	1205	2338	-						35124818	BK009_RS00015	1134		old_locus_tag=BK009_00015
CDS	with_protein	GCF_002813695.1	Primary Assembly	chromosome		NZ_CP017768.1	1205	2338	-	WP_100904761.1	WP_100904761.1		tetratricopeptide repeat protein		35124818	BK009_RS00015	1134	377	
gene	protein_coding	GCF_002813695.1	Primary Assembly	chromosome		NZ_CP017768.1	2488	3183	-						35124819	BK009_RS00020	696		old_locus_tag=BK009_00020
CDS	with_protein	GCF_002813695.1	Primary Assembly	chromosome		NZ_CP017768.1	2488	3183	-	WP_100908730.1	WP_100908730.1		anaerobic ribonucleoside-triphosphate reductase activating protein		35124819	BK009_RS00020	696	231	
gene	protein_coding	GCF_002813695.1	Primary Assembly	chromosome		NZ_CP017768.1	3399	4499	-					hisC	35124821	BK009_RS00030	1101		old_locus_tag=BK009_00030
CDS	with_protein	GCF_002813695.1	Primary Assembly	chromosome		NZ_CP017768.1	3399	4499	-	WP_100908732.1	WP_100908732.1		histidinol-phosphate transaminase	hisC	35124821	BK009_RS00030	1101	366	
gene	protein_coding	GCF_002813695.1	Primary Assembly	chromosome		NZ_CP017768.1	4611	5084	-						35124822	BK009_RS00035	474		old_locus_tag=BK009_00035
CDS	with_protein	GCF_002813695.1	Primary Assembly	chromosome		NZ_CP017768.1	4611	5084	-	WP_100908733.1	WP_100908733.1		gamma carbonic anhydrase family protein		35124822	BK009_RS00035	474	157	
gene	protein_coding	GCF_002813695.1	Primary Assembly	chromosome		NZ_CP017768.1	5373	6653	-						35124823	BK009_RS00040	1281		old_locus_tag=BK009_00040
CDS	with_protein	GCF_002813695.1	Primary Assembly	chromosome		NZ_CP017768.1	5373	6653	-	WP_100908734.1	WP_100908734.1		sugar phosphate nucleotidyltransferase		35124823	BK009_RS00040	1281	426	
gene	pseudogene	GCF_002813695.1	Primary Assembly	chromosome		NZ_CP017768.1	6726	8086	-					glmM	35124824	BK009_RS00045	1361		pseudo;old_locus_tag=BK009_00045
CDS	without_protein	GCF_002813695.1	Primary Assembly	chromosome		NZ_CP017768.1	6726	8086	-				phosphoglucosamine mutase	glmM	35124824	BK009_RS00045	1361		pseudo
gene	protein_coding	GCF_002813695.1	Primary Assembly	chromosome		NZ_CP017768.1	8091	9317	-						35124825	BK009_RS00050	1227		old_locus_tag=BK009_00050
CDS	with_protein	GCF_002813695.1	Primary Assembly	chromosome		NZ_CP017768.1	8091	9317	-	WP_100907495.1	WP_100907495.1		2,3-bisphosphoglycerate-independent phosphoglycerate mutase		35124825	BK009_RS00050	1227	408	
