# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	52	1401	+					purB	10278944	METBO_RS00005	1350		old_locus_tag=Metbo_0001
CDS	with_protein	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	52	1401	+	WP_013643605.1	WP_013643605.1		adenylosuccinate lyase	purB	10278944	METBO_RS00005	1350	449	
gene	protein_coding	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	1643	2533	+						10276424	METBO_RS00010	891		old_locus_tag=Metbo_0002
CDS	with_protein	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	1643	2533	+	WP_013643606.1	WP_013643606.1		hypothetical protein		10276424	METBO_RS00010	891	296	
gene	protein_coding	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	2612	3007	+						10276425	METBO_RS00015	396		old_locus_tag=Metbo_0003
CDS	with_protein	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	2612	3007	+	WP_227717276.1	WP_227717276.1		DUF126 domain-containing protein		10276425	METBO_RS00015	396	131	
gene	protein_coding	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	3042	3467	-						10276426	METBO_RS00020	426		old_locus_tag=Metbo_0004
CDS	with_protein	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	3042	3467	-	WP_013643608.1	WP_013643608.1		DUF5518 domain-containing protein		10276426	METBO_RS00020	426	141	
gene	protein_coding	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	3460	3906	-						10276427	METBO_RS00025	447		old_locus_tag=Metbo_0005
CDS	with_protein	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	3460	3906	-	WP_013643609.1	WP_013643609.1		YrzE family protein		10276427	METBO_RS00025	447	148	
gene	protein_coding	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	3971	4342	-						10276428	METBO_RS00030	372		old_locus_tag=Metbo_0006
CDS	with_protein	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	3971	4342	-	WP_013643610.1	WP_013643610.1		DUF5518 domain-containing protein		10276428	METBO_RS00030	372	123	
gene	protein_coding	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	4542	4919	-						10276429	METBO_RS00035	378		old_locus_tag=Metbo_0007
CDS	with_protein	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	4542	4919	-	WP_048186286.1	WP_048186286.1		hypothetical protein		10276429	METBO_RS00035	378	125	
gene	protein_coding	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	5091	6338	+						10276430	METBO_RS00040	1248		old_locus_tag=Metbo_0008
CDS	with_protein	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	5091	6338	+	WP_013643612.1	WP_013643612.1		amidohydrolase family protein		10276430	METBO_RS00040	1248	415	
gene	protein_coding	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	6365	8800	+						10276431	METBO_RS00045	2436		old_locus_tag=Metbo_0009
CDS	with_protein	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	6365	8800	+	WP_013643613.1	WP_013643613.1		heavy metal translocating P-type ATPase		10276431	METBO_RS00045	2436	811	
gene	protein_coding	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	8857	9003	+						32167031	METBO_RS13150	147		old_locus_tag=Metbo_0010
CDS	with_protein	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	8857	9003	+	WP_013643614.1	WP_013643614.1		YHS domain-containing protein		32167031	METBO_RS13150	147	48	
gene	protein_coding	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	9090	10343	-					truD	10276433	METBO_RS00050	1254		old_locus_tag=Metbo_0011
CDS	with_protein	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	9090	10343	-	WP_013643615.1	WP_013643615.1		tRNA pseudouridine(13) synthase TruD	truD	10276433	METBO_RS00050	1254	417	
gene	protein_coding	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	10542	11882	-					ftsA	10276434	METBO_RS00055	1341		old_locus_tag=Metbo_0012
CDS	with_protein	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	10542	11882	-	WP_013643616.1	WP_013643616.1		coenzyme F390 synthetase	ftsA	10276434	METBO_RS00055	1341	446	
gene	protein_coding	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	12042	12722	-						10276435	METBO_RS00060	681		old_locus_tag=Metbo_0013
CDS	with_protein	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	12042	12722	-	WP_013643617.1	WP_013643617.1		HAD hydrolase-like protein		10276435	METBO_RS00060	681	226	
gene	protein_coding	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	12741	14039	-						10276436	METBO_RS00065	1299		old_locus_tag=Metbo_0014
CDS	with_protein	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	12741	14039	-	WP_013643618.1	WP_013643618.1		amidohydrolase family protein		10276436	METBO_RS00065	1299	432	
gene	protein_coding	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	14151	15011	+					hisG	10276437	METBO_RS00070	861		old_locus_tag=Metbo_0015
CDS	with_protein	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	14151	15011	+	WP_013643619.1	WP_013643619.1		ATP phosphoribosyltransferase	hisG	10276437	METBO_RS00070	861	286	
gene	protein_coding	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	15023	15802	+						10276438	METBO_RS00075	780		old_locus_tag=Metbo_0016
CDS	with_protein	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	15023	15802	+	WP_013643620.1	WP_013643620.1		fumarylacetoacetate hydrolase family protein		10276438	METBO_RS00075	780	259	
gene	protein_coding	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	15852	18728	-					leuS	10276439	METBO_RS00080	2877		old_locus_tag=Metbo_0017
CDS	with_protein	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	15852	18728	-	WP_013643621.1	WP_013643621.1		leucine--tRNA ligase	leuS	10276439	METBO_RS00080	2877	958	
gene	protein_coding	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	18884	19204	-						10276440	METBO_RS00085	321		old_locus_tag=Metbo_0018
CDS	with_protein	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	18884	19204	-	WP_013643622.1	WP_013643622.1		divalent-cation tolerance protein CutA		10276440	METBO_RS00085	321	106	
gene	protein_coding	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	19207	20040	-						10276441	METBO_RS00090	834		old_locus_tag=Metbo_0019
CDS	with_protein	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	19207	20040	-	WP_013643623.1	WP_013643623.1		NAD+ synthase		10276441	METBO_RS00090	834	277	
gene	protein_coding	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	20253	21251	+						10276442	METBO_RS00095	999		old_locus_tag=Metbo_0020
CDS	with_protein	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	20253	21251	+	WP_013643624.1	WP_013643624.1		TRC40/GET3/ArsA family transport-energizing ATPase		10276442	METBO_RS00095	999	332	
gene	protein_coding	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	21293	21661	+						10276443	METBO_RS00100	369		old_locus_tag=Metbo_0021
CDS	with_protein	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	21293	21661	+	WP_013643625.1	WP_013643625.1		cupin domain-containing protein		10276443	METBO_RS00100	369	122	
gene	protein_coding	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	21722	22108	-						25394711	METBO_RS12910	387		old_locus_tag=Metbo_0022
CDS	with_protein	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	21722	22108	-	WP_013643626.1	WP_013643626.1		DUF2115 family protein		25394711	METBO_RS12910	387	128	
gene	protein_coding	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	22177	22800	-					cbiE	10276445	METBO_RS00110	624		old_locus_tag=Metbo_0023
CDS	with_protein	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	22177	22800	-	WP_013643627.1	WP_013643627.1		precorrin-6y C5,15-methyltransferase (decarboxylating) subunit CbiE	cbiE	10276445	METBO_RS00110	624	207	
gene	protein_coding	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	23019	24206	+						10276446	METBO_RS00115	1188		old_locus_tag=Metbo_0024
CDS	with_protein	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	23019	24206	+	WP_013643628.1	WP_013643628.1		redox-regulated ATPase YchF		10276446	METBO_RS00115	1188	395	
gene	protein_coding	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	24386	24679	+						10276447	METBO_RS00120	294		old_locus_tag=Metbo_0025
CDS	with_protein	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	24386	24679	+	WP_048186287.1	WP_048186287.1		hypothetical protein		10276447	METBO_RS00120	294	97	
gene	protein_coding	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	25159	25443	+						10276449	METBO_RS00125	285		old_locus_tag=Metbo_0027
CDS	with_protein	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	25159	25443	+	WP_048186289.1	WP_048186289.1		winged helix-turn-helix domain-containing protein		10276449	METBO_RS00125	285	94	
gene	protein_coding	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	25477	25836	+						10276450	METBO_RS00130	360		old_locus_tag=Metbo_0028
CDS	with_protein	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	25477	25836	+	WP_013643632.1	WP_013643632.1		hypothetical protein		10276450	METBO_RS00130	360	119	
gene	protein_coding	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	25924	26250	+						10276451	METBO_RS00135	327		old_locus_tag=Metbo_0029
CDS	with_protein	GCF_000191585.1	Primary Assembly	chromosome		NC_015216.1	25924	26250	+	WP_013643633.1	WP_013643633.1		hypothetical protein		10276451	METBO_RS00135	327	108	
